timestamp,speaker,words,tags
00:09,HS,"Awesome. Do you guys want to start with the first proposal? The, the children's during the COVID? Yeah. Okay. Does anyone want to start with that?",instructional
00:29,CS,"I thought I thought it was a novel idea. Especially for very young children. I was looking, I was trying to see there's an age range in the paper. But yeah, um, if I think for...Yeah, I think it's a very novel idea. I think. If it can give some comfort to young children who maybe attention or relationship starved, I think it could benefit both them and future children. Through the study, I think the only thing that jumped out at me when I was reading the just the brief summary, and also the paper, abstract is just...privacy and how the data is, is it all like machine learning on the toy? If that's the case, then I have no problems. But if it's being... Yeah, I just have concerns about the data being used, collected from the children. Oh, it's only five children that..Oh, that's right. Yeah. What do you guys think?",influentiality;privacy
01:46,SC,"I also agree with like, the privacy just because the preset, like record, like conversations and. And like, I didn't really read in depth to the paper. But yeah, just recordings in general.",privacy
02:02,HS,"Yeah, I don't know, if it's the it's sort of a potentially good solution. But I think the best solution would be, ideally, for them to just have more like, say, to have like online learning. And also, hopefully, their parents can provide them with like social time with other children, that sort of sort of supplement or even the adults that can sort of supplement their effectiveness class and stuff like that. I'm just sort of, I don't really think that it's the best solution to the problem. But I do understand that for very, very, very young children, it could be beneficial. And then the same thing, as you guys said, Yeah, I'm not, if there was some sort of guarantee that the information could not be used by companies in like, any way at all, then I would be much, much more enthusiastic. But I'm just very skeptical about that fact, that it either is if it's developed by the government or anything like that, it's probably gonna be very expensive. It's quite a private group that I'm sort of concerned about where the information is going to go. So in general, I'm, I'm more skeptical this one than the other two, just because I think the information could be used to be used just to, you know, learn more about children, and then try to make them buy products in the future.",feasibility;impactfulness;influentiality
03:24,CS,"Yeah, actually, that's actually I actually, that's the word I think that was on top of my tongue, just skeptical. I guess me I don't like skeptical and a bit like a citizen. Like, it's like one of those. I felt reading it. It's like, like, I maybe I know, it's more academic, but I thought I couldn't help thinking it's like a YouTube ad. It's like, oh, use this toy, you know, help your children but help children in the future, too. And I thought about, like, 23andme how they're like, Oh, you can just pay $50. And you can find out everything about your genetic history, and we can help you others and data, I'm like, oh, but you're a private company. And you're, the data is going to be used for profit. It's not altruistic. So I'm, yeah, I'm skeptical of the data collection. Like, again, like, if it was a really high tech toy, like, like it could machine learn. The patterns of child is giving off on the device, and then I'll put that in a phrase without identifying the child. That would probably be would be really expensive. And I don't know if that would even be feasible. Yeah, ai ai toys like, um, I, like I've seen a couple of them. They've all kind of flopped. But they all had some machine learning to it. But yeah, again, like I think, I think what HS said like I Think hours on the toy would not compare to even, maybe 10 minutes with another child online, even through zoom. So I know what the cost benefit would be. Again,",feasibility;relationality
05:13,HS,"I think if it's made by a company, it'll probably be cheaper. But the condition is probably that they're going to use the information. Even if it's anonymous, I don't think that really matters about the identity all that much, because they're still going to use the data to sell products, because that's the only way they can make money off data is either what they sell the data to researchers, which I don't know how much money that would be worth, actually, but probably not enough to cover even a fraction of the cost, especially within the current because making things robotically now is really expensive. So you're making something that's going to interact with a child. And it's not going to be cheap. And so they're probably going to want to get everything they can out of it by using the data to sell products. So I'm pretty skeptical about this one, probably better places to put funding, in my opinion.",influentiality;privacy
06:05,MCS,"So I will just add in what I thought I also thought that this one like, I ranked this the lowest because yeah, their goals and objectives aren't quite clear. For me, I don't understand why they need to use a toy. Doesn't make sense. And my first question for them would be how, like, what kind of data? Are you gathering? Obviously, they're collecting waste data, but it says that they're also collecting play patterns. Is that like, how are they even trying to collect that using voice? Like, what other sorts of data are they gonna collect? And I think feasibility wise, it's quite hard to on like, for an AI right now, it's quite hard to do social and emotional learning, especially for kids like AIs are having trouble with adults. How are they going to do it for kids?",influentiality;privacy;feasibility
07:03,CS,"Well, that's actually a really good point. Yeah. Yeah, like if our best, like, I know, it's totally my first I was like, Oh, if an AI can't get past capture, like, how's it gonna? How's it going to machine learn? And separase? I just learned to have a it's like a treat and price like, yeah, how does it recognize those kinds of emotional patterns and children? Yeah, it's interesting. Yeah.",feasibility
07:36,MCS,"Yeah. So other than that, I think. Yeah, like overall, I think is a pretty creepy idea to have smart toys. I don't think parents would like to have. It's just creepy. Overall",influentiality
07:51,HS,We all agree that this one is our lowest ranking.,
